Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Mas dels Clavers,164.95,4986,Cabrera d'Anoia,587,Anoia,Barcelona,1482
"Restauració, sèries",164.94,1610,-,4022,,,
"Dubosc, J.B.",164.79,5365,Sant Sadurní d'Anoia,662,Alt Penedès,Barcelona,12841
AntechFrança (mousseux),164.65,11767,Limoux,904,,Aude,9411
El Pomar de Gredos - E,164.54,7521,Los Llanos de Tormes,3598,,Ávila,63
Sant Julià,164.27,46523,Sant Julià de Ramis,4331,Gironès,Girona,3576
Dallmayr,164.25,6740,-,746,,,
SidraFrança (mousseux),164.21,81035,-,3566,,,
EpernayFrança (champagne),164.11,51470,Épernay,1833,,Marne,22022
Mas Boter,164.0,202483,AVINYONET DEL PENEDÈS,8300,Alt Penedès,Barcelona,1697
Joan Serret - M,163.92,30815,CASTALLA,3902,Alcoià,Alacant,10124
Guardiola Velles,163.92,99377,Sant Sadurní d'Anoia,4069,Alt Penedès,Barcelona,12841
Beso de Rechenna - E,163.68,62212,Requena,4806,Plana d'Utiel,València,20254
Foixench,163.61,9350,Cervelló,3319,Baix Llobregat,Barcelona,9077
Chatin,163.59,36684,Sant Sadurní d'Anoia,8545,Alt Penedès,Barcelona,12841
"Clouet, AndréFrança (champagne)",163.47,8688,Bouzy,1639,,Marne,997
M T - (Mas Tarragó),163.31,105822,Montblanc,4866,Conca de Barberà,Tarragona,7379
Miquel Roig,163.25,3843,Sant Sadurní d'Anoia,242,Alt Penedès,Barcelona,12841
Rendé Masdéu,162.71,211306,l'Espluga de Francolí,7812,Conca de Barberà,Tarragona,3736
Joan Martinez Esquius,162.57,10128,Olesa de Montserrat,3293,Baix Llobregat,Barcelona,24144
Can Paixano,162.55,6444,Barcelona,603,Barcelonès,Barcelona,1664182
Cremant de BourgogneFrança (mousseux),162.2,8493,Montagny-lès-Beaune,956,,Côte-d'Or,715
Les Champagnes de VigneronsFrança (champagne),162.13,11761,,742,,,
Balaguer Fité,162.01,1439,,21,,,
CarpenèItàlia,161.88,2869,Conegliano,881,,Treviso,35246
