Cava,Puntuació,id,Municipi,id_cava
Gibasch,298.11,880,-,147
Abbazia VinicolaItàlia,297.85,34326,,840
Coop. Vila-Rodona,297.78,709,Vila-Rodona,98
PommeryFrança (champagne),297.77,2598,,677
Puigmoltó,297.4,13455,Castellet i la Gornal,300
Ca' de MediciItàlia,295.85,2223,,1067
Amorany,295.08,160266,Tiana,8159
Painous,295.01,2066,Torrelles de Foix,506
Vimont,294.15,41333,Sant Sadurní d'Anoia,3689
Pedro Masana,294.09,25868,-,279
Freixenet - Casa Sala,294.01,62763,Sant Quintí de Mediona,4468
Catasús & Casanovas,293.98,1777,Sant Sadurní d'Anoia,80
Peret-Fuster,293.91,96567,-,5254
Arnan Deloi,293.73,814,Torrelles de Foix,438
Miguel TorresXile,292.99,9862,,1278
Albert Perrín,292.86,2819,Sant Sadurní d'Anoia,565
Vins del Terme - (Masachs),292.38,198950,Vilafranca del Penedès,8270
Isach Balcells,292.3,25687,Sant Sadurní d'Anoia,163
Perecaula,292.04,119819,Vilafranca del Penedès,6005
Palau Solà,291.97,149,El Pla del Penedès,272
Mas Jornet,291.93,1583,Santa Margarida i els Monjos,223
Josep Llopart,291.91,9349,-,3264
Martí Grau,291.89,114143,-,6086
Na Sol de Rechenna - E,291.15,43359,Requena,4270
Ivette,290.95,210719,Sant Sadurní d'Anoia,5896
Ivan Saldanya,290.84,1863,Cabrera d'Anoia,164
De Muller,289.81,34851,Reus,4357
Heretat Mont-Rubí,289.66,815,Font-Rubí,159
Clos Montblanc,289.54,39395,Barberà de la Conca,4174
Celler Sant Ponç,289.32,1434,L'Arboç,83
Genís Ricart,288.89,173,Castellví de la Marca,146
Don Conde,288.5,561,Sant Sadurní d'Anoia,115
Xamós,288.15,2036,Barcelona,381
RuinartFrança (champagne),287.85,5474,,696
Lalanne - E,287.34,4851,Barbastro,612
Billecart-SalmonFrança (champagne),287.22,3425,,667
Cum Laude - CP,286.82,120354,-,5895
Josepha Seve Marigó,286.17,1431,Sant Sadurní d'Anoia,184
Senyor de Mont-Palau,285.96,98833,La Granada,452
VG Vicente Gandia,285.39,86069,"Chiva, Valencia",9050
Chamcalet,284.88,92101,Sant Sadurní d'Anoia,5209
Valldegata - M,284.78,9872,Arenys de Mar,213
Teresa Mata,284.33,978,Sant Sadurní d'Anoia,457
Cavalló Graula,284.3,51129,Gavà,4194
Dogma,284.24,73489,Pontons,404
Sala VivéMèxic,283.72,6896,,1328
Marc Martí,283.67,29783,Sant Sadurní d'Anoia,516
Duc de Rosanes,283.42,1483,Castellví de Rosanes,477
Cup de Cairons,282.86,793,Sant Joan Despi,4519
Ana Ferret Raventós,282.08,1394,Sant Pere de Riudebitlles,473
Joan Rovira Baqués,281.41,74264,Sant Sadurní d'Anoia,5108
Miquel Pons Montargull,280.96,4267,-,7325
Pere Barnada,279.97,58574,Barcelona,2679
Empordàlia,279.26,95987,Vilajuïga,4695
Suriol,279.06,1421,Font-Rubí,58
Ninavinatera,278.36,149289,Barcelona,7287
Celler dels Plans,276.99,32219,Barcelona,3603
Joan Bundó Pons,276.93,539,Pacs del Penedès,173
Emilia Freixedas,276.81,70060,-,4570
Casamartina i Malet,276.4,2128,-,70
Vardon Kennett - de Miguel Torres S.A.,276.4,142356,-,7040
Vilajó,276.37,1945,Capellades,373
Mar Salada By I Tant Vins,276.21,118989,-,6875
Amànima,275.92,122577,Sant Sadurní d'Anoia,5968
Rubinat,275.86,84303,Sant Sadurní d'Anoia,3754
Ramon Nadal Giró,275.4,19591,El Pla del Penedès,483
Durand Vve.França (champagne),275.27,10363,,1821
Botigues,275.04,1196,,487
Xepitus,274.92,36982,Sant Sadurní d'Anoia,573
Duc de Benach,274.04,13254,La Granada,6270
Bodegas Bordejé - E,273.5,3816,Ainzón,577
Perrier JouetFrança (champagne),272.17,33734,,765
Pedro Rovira,272.08,2125,-,280
Bastets,271.58,89831,Sarral,5487
Mas Cancolomé,271.47,60820,Castellet i la Gornal,4987
Piteus - (M),271.11,5857,San Andreu de la Barca,6546
Francesc Ollé Amat - (M.),270.86,138629,Castellví de Rosanes,5375
Masia Perelada,270.7,72272,Peralada,5070
Muscàndia,270.14,127751,Sant Sadurní d'Anoia,5220
Coop. Cambrils,269.92,46,CAMBRILS,95
Cristina Ventura - C V,269.51,84150,Sant Sadurní d'Anoia,5285
L'Olivera,269.38,57069,Vallbona de les Monges,2438
Celler Cooperatiu  La Granada,269.08,19737,La Granada,82
Trias-Batlle (M.),268.31,105315,Vilafranca del Penedès,6423
Castell de Pujades,268.3,152461,Barcelona,6325
Claverol,268.23,2016,Subirats,501
Ball i Gran,268.08,802,-,24
Coviñas - E,267.96,43762,Requena,4274
Maians Vell,266.52,33088,Maians,396
Celler Batlle,266.24,87053,Avinyó Nou,748
Ses Vernes,265.86,73414,Blanes,5484
Gavarnié,265.21,630,-,144
Oficials,265.06,1520,,105
Vega Medien - E,265.02,45299,Requena,3480
Monjoy,263.88,629,Sant Pere de Riudebitlles,248
Anglada,263.3,2291,Sant Sadurní d'Anoia,10
Espinaler,262.17,133438,-,7428
Lombardini CantineItàlia,261.98,17482,,888
Palacio de Bornos - E,261.95,8702,Rueda,833
Commemoratives,261.92,9430,,737
DeutzFrança (champagne),261.57,4205,,684
Matèria Viva Siglo XIX La Phylloxera,261.51,919,Vallromanes,4682
Sense alcohol,259.96,144148,,8731
Pere Mata,259.44,1510,Sant Sadurní d'Anoia,283
Xebrat,259.39,813,Sant Sadurní d'Anoia,443
Bellavita Casa Vin.Itàlia,259.39,2865,,2737
Gran d'Art,259.15,8259,Subirats,492
Castell de Biart,257.64,11275,Vilarnadal,511
Juan Mestre,257.49,98,Tiana,186
M. Bosch,257.33,44327,Granollers,4971
Roger Marsal,257.23,1397,Sant Sadurní d'Anoia,474
Pirules d'Altres Autonomies,257.03,155265,,3925
Portell I Farrús,256.91,838,Piera,294
Pedro J. Ventura,256.75,939,-,455
Piper - HeidsieckFrança (champagne),256.62,68013,,722
Coop. Albinyana,256.08,32720,Albinyana,496
Giró del Gorner,255.94,2126,Puigdàlber,149
"Vivas Bou, J.",255.84,13673,Barcelona,670
ChiarliItàlia,255.82,26234,,664
Bodegas Hispano Suizas - E,255.11,7866,València,3906
Vell Tribac,254.54,3818,Maçanet de la Selva,362
Castell de Calders,254.46,391,Reus,4961
Raventós Soler,254.33,16405,Sant Sadurní d'Anoia,308
Montau de Sadurní,253.42,1808,Begues,250
Carta Universal,253.41,2153,Sant Sadurní d'Anoia,69
Barraló,253.22,1499,Sant Sadurní d'Anoia,27
Emprius,253.12,72913,La Garriga,5076
Palau & Farré,252.43,59213,-,271
Villa Conchi - Bodegas Villa Conchi,252.2,100487,Vila-Rodona,5751
Montferry,251.99,441,-,252
Quilez,251.75,2336,Barcelona,302
Arjau,251.62,1459,-,13
Beatriz de Cardauneur,251.54,303,Vilafranca del Penedès,29
Puig Amat,251.22,3985,Bell-lloc,298
Pere Abadal,250.26,1492,Barcelona,282
Ramón Raventós,250.12,149868,AVINYONET DEL PENEDES,7696
Masia Freixe,249.83,695,Piera,762
Grabuach,248.17,358,Font-rubí,151
Biel-lo,247.75,9487,La Llacuna,4198
Zuviria,247.4,41129,BANYERAS DEL PENEDES,4765
Campo Viejo - M,246.94,83184,Logroño,3482
Josep M. Ferret Guasch,246.78,31706,Font-Rubí,182
LafitteFrança (champagne),246.67,3969,,2080
MercierFrança (champagne),246.42,4156,,691
Mont d'Arac,246.23,68702,VILOBI DEL PENEDES,462
Gran Sativa,244.78,164221,Sant Sadurní d'Anoia,4521
Maria Isabel León,244.21,16632,,8554
1714,244.16,10466,Castellví de la Marca,5962
Genèriques - Champ. ClassiquesFrança (champagne),244.16,6855,,3927
